study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	0.0	hr		0.002157635476384421	1167.28624535316	0.00046832397937026174	0.00014809704576837363		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	0.5	hr		0.0023081681840391387	1301.11524163568	0.0006188566870249798	0.0001956996676224909		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	1.0	hr		0.0045661587988600465	3561.33828996282	0.003445526419652635	0.001089571122438747		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	1.5	hr		0.005168289629478942	3910.78066914498	0.0036295108401195454	0.0011477521047049007		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	2.0	hr		0.0057369687472856885	3479.55390334572	0.002090732050760104	0.0006611475257516702		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	2.5	hr		0.006205292726655951	3449.81412639405	0.001555504645765526	0.0004918937591592443		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	3.0	hr		0.006673616706026213	3591.07806691449	0.001404971938110785	0.00044429113730512157		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	4.0	hr		0.005302096480727597	2907.06319702602	0.0012377133740499823	0.000391399335244989		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	6.0	hr		0.004281819239956672	2386.61710037174	0.0010871806663952416	0.00034379671339086385		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	8.0	hr		0.003294993711997894	1836.43122676579	0.0008362928203040372	0.0002644590103006672		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	10.0	hr		0.002652720826004391	1479.55390334572	0.0006757245988056727	0.0002136828803229419		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	10.5	hr		0.002495497775787235	1382.89962825278	0.0006155115157437718	0.00019464183158129073		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	11.0	hr		0.004492565030673291	2825.27881040892	0.0018632604036374002	0.0005892146749498873		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	12.0	hr		0.006763936330619053	3962.8252788104	0.0021509451338219826	0.0006801885744933141		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	13.0	hr		0.005833978714440967	3040.89219330855	0.0010068965556460706	0.00031840864840200625		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	14.0	hr		0.00511142171769827	2602.23048327137	0.0007426280244299893	0.00023483960114699292		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	16.0	hr		0.003953992454397482	2200.74349442379	0.0009968610418024243	0.00031523514027839825		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	19.0	hr		0.002880192473127095	1665.42750929368	0.0008663993618349988	0.00027397953467149587		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	22.0	hr		0.0024085233224756253	1420.07434944237	0.0007861152510857828	0.00024859146968262254		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	24.0	hr		0.002217848559446308	1278.81040892193	0.0006589987423995789	0.00020839370011692442		mole/meter^3	ng/ml
Devineni2012		BID300	10.0	BID_CAN300_d27	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_BID300_d27	48.0	hr		0.0005686791178067458	379.182156133829	0.000284339558903374	8.991606350222714e-05		mole/meter^3	ng/ml
