study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	0.5	hr		0.00010753637696609766	79.8517954652167	7.210043293860068e-05	2.4033477646200155e-05	.	mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	1.0	hr		0.0006855321794912219	443.568478088775	0.000312331749728236	0.0001041105832427454		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	1.5	hr		0.0008918316888434125	522.072173100611	0.00028263632617647657	9.42121087254921e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	2.0	hr		0.0008809514333480241	502.96408006206	0.0002505304865338704	8.35101621779568e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	3.0	hr		0.0007974349222947507	406.787136662475	0.00011768468290115811	3.922822763371944e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	4.0	hr		0.0007128705540034711	417.322853604244	0.00022595049172301006	7.531683057433669e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	5.0	hr		0.0006215220428271251	337.522251411148	0.00013777735879698911	4.5925786265663036e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	6.0	hr		0.00046632103309540446	243.908272365958	8.23817694141857e-05	2.7460589804728492e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	8.0	hr		0.00032473292367988024	176.348673024046	7.198593365333463e-05	2.3995311217778134e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	10.0	hr		0.0002627797864934491	151.918877177878	7.898112572580412e-05	2.6327041908601454e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	12.0	hr		0.0001997485682987096	122.933558012154	7.680616741987546e-05	2.5602055806625153e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	16.0	hr		0.00013244298292044125	79.4986970985501	4.639948712250437e-05	1.5466495707501452e-05		mole/meter^3	ng/ml
Devineni2013		CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	24.0	hr		7.385861331393218e-05	42.1696503428582	2.1007399632356172e-05	7.002466544118731e-06		mole/meter^3	ng/ml
