study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	0.0	hr		0.0008216524296211335	554.158781535088	0.0004249985081026213	7.759375659794926e-05	.	mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	0.5	hr		0.004703381024538129	3476.12534422677	0.003116606791988468	0.0005690119476152983		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	1.0	hr		0.008500099348069572	4584.49250205557	0.0018133019136466469	0.00033106212055718443		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	1.5	hr		0.007281898694580332	3879.25399042037	0.0014449784856921653	0.00026381577057441833		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	2.0	hr		0.005990036174104199	3174.01495673509	0.0011503157503062642	0.00021001796156540703		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	3.0	hr		0.004703962361615368	2431.04788504456	0.0007649902680746787	0.00013966747536547523		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	4.0	hr		0.004080880584558601	2217.04754571201	0.0009066509568233234	0.00016553106027859221		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	5.0	hr		0.003939445384130834	2154.17966353871	0.0009066568289150046	0.00016553213237095003		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	6.0	hr		0.003004702340666047	1700.88618002897	0.000821658301712822	0.00015001359546983276		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	8.0	hr		0.002325187413638705	1348.45016379321	0.0007083234088548947	0.00012932156967959343		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	10.0	hr		0.0020139923913108267	1197.52548257005	0.0006799940897091769	0.00012414936730130257		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	12.0	hr		0.001708474507228128	971.034050717165	0.00047599057791390204	8.690359222778816e-05		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	16.0	hr		0.0011484296344556688	752.310724213988	0.0005439893996756555	9.931842174868333e-05		mole/meter^3	ng/ml
Devineni2014		all	30.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	24.0	hr		0.0008329867409997661	531.486146095717	0.00036265920831098623	6.621220969296407e-05		mole/meter^3	ng/ml
