study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	0.0	hr		2.0359940479168545e-05	44.2238267148013	5.089985119792024e-05	1.6966617065973415e-05		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	0.5	hr		0.0001425195833541792	145.306859205776	9.161973215625586e-05	3.053991071875195e-05		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	1.0	hr		0.0015269955359376215	1320.39711191335	0.000600618244135453	0.00020020608137848427		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	1.5	hr		0.002585712440854367	2084.83754512635	0.0007736777382083953	0.00025789257940279843		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	2.0	hr		0.00291147148852106	2425.99277978339	0.0009976370834792454	0.0003325456944930818		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	3.0	hr		0.0025042726789376896	2185.92057761732	0.0010179970239584109	0.00033933234131947027		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	4.0	hr		0.0021174338098334995	1895.30685920577	0.000936557262041734	0.0003121857540139113		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	5.0	hr		0.001771314821687641	1585.74007220216	0.0007838577084479697	0.00026128590281598987		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	6.0	hr		0.0015371755061772058	1345.6678700361	0.0006311581548542154	0.0002103860516180718		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	8.0	hr		0.0011299766965938399	1017.14801444043	0.0005089985119792023	0.00016966617065973413		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	10.0	hr		0.0008449375298854833	764.440433212996	0.00038683886910419765	0.00012894628970139922		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	12.0	hr		0.0006820580060521366	644.404332129964	0.00035629895838544637	0.00011876631946181545		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	16.0	hr		0.0004886385715000387	429.602888086642	0.00020359940479168227	6.786646826389407e-05		mole/meter^3	ng/ml
Devineni2015a		CAN300	9.0	CAN300_d1	concentration	M7	plasma	LC MS/MS	M7_CAN300_d1	24.0	hr		0.0002850391667083564	265.342960288809	0.00014251958335417827	4.750652778472609e-05		mole/meter^3	ng/ml
