study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	0.0	hr		7.1298400919465675e-06	30.9734513274338	4.277904055167863e-05	1.5124674833373137e-05		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	0.5	hr		9.981776128724976e-05	92.9203539823011	4.990888064362534e-05	1.764545397226875e-05		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	1.0	hr		0.0007343735294704802	946.902654867256	0.0007914122502060522	0.0002798064844174021		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	1.5	hr		0.001233462335906729	1230.08849557522	0.000748633209654373	0.0002646818095840288		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	2.0	hr		0.0015186559395845875	1252.2	0.0004990688428839913	0.00017644748154109694		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	3.0	hr		0.0018537584239060585	1513.27433628318	0.0005846468875396069	0.0002067038893894324		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	4.0	hr		0.0020106149059288753	1938.05309734513	0.0011122550543436513	0.0003932415456677038		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	5.0	hr		0.0018252390635382695	1628.31858407079	0.000798542090298002	0.0002823272635562987		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	6.0	hr		0.0015543051400443183	1243.3628318584	0.0004491799257926138	0.0001588090857504137		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	8.0	hr		0.0012120728156308912	1172.56637168141	0.0006773348087348999	0.00023947401819507041		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	12.0	hr		0.0008627106511255156	840.70796460177	0.0004919589663443039	0.00017393376058379086		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	16.0	hr		0.0006416856082751772	606.194690265487	0.00033510248432148243	0.00011847661952808948		mole/meter^3	ng/ml
Devineni2015c		mild_hepatic	8.0	CAN300	concentration	M5	plasma	LC MS/MS	M5_CAN300_mild_hepatic	24.0	hr		0.0004990888064362488	522.12389380531	0.00034223232441342894	0.00012099739866698501		mole/meter^3	ng/ml
