study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	0.5	hr		0.0006112593209884751	548.978692504164	0.0006237383450321674	0.00016670108472169732	.	mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	1.0	hr		0.002918176307418372	2306.74488971023	0.002271140862438034	0.0006069879274532436		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	1.5	hr		0.0038403503787307375	2899.9268018563	0.0026834052438903934	0.0007171702180364585		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	2.0	hr		0.004426924041226115	3057.83478026678	0.002452065741565088	0.0006553421353415954		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	3.0	hr		0.004321872859632613	2724.17484632131	0.0018065062978397722	0.00048280911668327345		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	4.0	hr		0.004001548077838152	2352.095718704	0.0012897915725337105	0.0003447112974835383		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	6.0	hr		0.002460299758646287	1446.15980956133	0.0007930213882168996	0.00021194388107796346		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	8.0	hr		0.0018429916985012642	1067.76776028051	0.0005590882179037181	0.00014942261145555185		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	10.0	hr		0.001480449037709024	870.205303607618	0.00047718890632837815	0.0001275340997321539		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	12.0	hr		0.0011892236709671058	700.7102812730041	0.0003871135780824355	0.000103460455639474		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	16.0	hr		0.000758181057532289	437.152526533155	0.0002252493694316473	6.020042621429254e-05		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	24.0	hr		0.00048350213235413635	289.731803669313	0.00016828655487408165	4.497647365281042e-05		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	48.0	hr		0.00012270470498012477	81.7490632512114	6.120025106487543e-05	1.635645510495078e-05		mole/meter^3	ng/ml
Devineni2015d		study 1	14.0	CAN300	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300	72.0	hr		4.019789897067633e-05	30.208292570601	2.7759512361600432e-05	7.419041748644628e-06		mole/meter^3	ng/ml
