study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	0.0	hr		0.000764091082325231	425.564622180022	0.00019327087417601765	4.68750722695989e-05		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	0.5	hr		0.0011768777115274995	829.12629696666	0.0006883477618316446	0.00016694885465819877		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	1.0	hr		0.0025993769829385765	1985.7795525668	0.0018678876780353325	0.00045302930548996403		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	1.5	hr		0.0037039266059233147	2771.77913159006	0.002531544469691306	0.000613989720263853		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	2.0	hr		0.004313892008379391	2977.09781132804	0.002383469653753616	0.0005780763022282654		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	3.0	hr		0.005032291855406193	2870.3247412141	0.0014248701520133038	0.0003455817729141614		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	4.0	hr		0.005137257536923274	2907.02171478113	0.0014024589982476975	0.00034014626972783473		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	5.0	hr		0.005579475911729604	2977.09781132804	0.0011178857504034027	0.0002711271191932994		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	6.0	hr		0.004874978641512853	2745.49520565278	0.0013013633866002501	0.0003156269823684907		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	10.0	hr		0.002845637752015059	1532.91206136981	0.0006028436623929291	0.00014621106445766115		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	12.0	hr		0.00228201000874572	1231.24598579289	0.0004878350499310715	0.00011831737874966313		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	16.0	hr		0.001383809046926037	753.774392426242	0.00031190269573959644	7.564751526172022e-05		mole/meter^3	ng/ml
Devineni2015d		study 3	17.0	CAN300_3, CYC400	concentration	canagliflozin 	plasma	LC MS/MS	canagliflozin_CAN300_3_CYC400	24.0	hr		0.0009482835885775334	535.754117223013	0.0002569637067468698	6.232285322750504e-05		mole/meter^3	ng/ml
