study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	0.0	hr		0.00019339810737742746	118.522259343783	7.323284872284971e-05	2.114050246183021e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	0.5	hr		0.001090100667395687	769.74423772611	0.0006415372814075335	0.0001851958610579101		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	1.0	hr		0.00246365266312534	1386.14637515817	0.0006546606001354727	0.00018898423685802856		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	1.5	hr		0.002247717778833966	1160.36630962934	0.00036267439792679514	0.00010469508063561033		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	2.0	hr		0.0017780105338258924	872.889892658506	0.00018566673606757895	5.359737002408795e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	3.0	hr		0.0013780788157377677	692.931184570996	0.0001807583619940588	5.218044447777284e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	4.0	hr		0.0011354610711937245	570.041658074165	0.0001469204253354711	4.241227355844427e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	6.0	hr		0.0007761033801522188	406.913941318813	0.00013930148830937998	4.021287588696802e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	8.0	hr		0.0005834183292130622	329.082648926271	0.0001568951089970238	4.5291716706983675e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	12.0	hr		0.00037384662052491915	200.407608716352	7.699588465226606e-05	2.2226797365239594e-05		mole/meter^3	ng/ml
Iijima2015		CAN100	12.0	CAN100_d16	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100_d16	24.0	hr		0.00020982803185061775	134.171283547991	9.200740236799887e-05	2.6560249262301175e-05		mole/meter^3	ng/ml
