study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	0.0	hr		0.00022613731897080884	164.573095905992	0.00014409087405172795	5.094381707453669e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	0.5	hr		0.0005202675551232054	407.263615597585	0.0003959239502772171	0.00013998025503759288		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	1.0	hr		0.0017597013041408492	1271.77446765807	0.0011013177494364412	0.00038937462443380696		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	2.0	hr		0.0017597013041408492	993.942995651724	0.00047630037779716907	0.00016839761351104636		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	4.0	hr		0.0011283657283091709	613.461638831968	0.0002516945590851934	8.898746475844915e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	8.0	hr		0.000587485553843219	306.367004440359	0.00010172614161199097	3.596562227889084e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	12.0	hr		0.0004010026205151737	220.296661454575	9.458284836252076e-05	3.344008673053869e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	24.0	hr		0.00018683027299799874	113.904207382423	6.941178555176305e-05	2.4540772128959005e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	48.0	hr		4.994717732316734e-05	39.2344479450518	3.831572304318858e-05	1.3546653794952152e-05		mole/meter^3	ng/ml
Tamborlane2018		CAN100	8.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	72.0	hr		1.3969314778185832e-05	12.4772133928181	1.4099769922136989e-05	4.9850214625565894e-06		mole/meter^3	ng/ml
