study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	0.5	hr	NA	352.73205081127	539.081467752447	186.349416941177	49.8039766013551	ng/ml	.
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	1.0	hr	NA	1129.20670827779	1456.46192838819	327.2552201104	87.4626365490293	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	1.5	hr	NA	1025.11075054271	1290.48558877198	265.37483822927	70.9244088374634	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	2.0	hr	NA	908.254900878481	1076.2386931774	167.983792298919	44.8955569509678	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	3.0	hr	NA	730.479327023525	855.123010857964	124.643683834439	33.3124257381317	ng/ml	.
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	4.0	hr	NA	671.278158931437	767.002756211565	95.724597280128	25.5834747506537	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	6.0	hr	NA	455.815940528106	533.572099405825	77.756158877719	20.781207587999	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	8.0	hr	NA	345.152109412662	404.046357078396	58.894247665734	15.740149772642	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	10.0	hr	NA	284.516574581585	341.222319235859	56.705744654274	15.1552477398701	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	12.0	hr	NA	218.076456971749	258.400038591627	40.323581619878	10.7769305020856	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	16.0	hr	NA	153.659043240859	186.538367696457	32.879324455598	8.78736908724466	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	24.0	hr	NA	111.07434878088	138.149742271956	27.075393491076	7.23620328969254	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	48.0	hr	NA	36.7200599330064	52.1836067019531	15.4635467689467	4.13280671383955	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN100	72.0	hr	NA	13.8714389686889	22.7977875168424	8.9263485481535	2.38566699872267	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	0.5	hr	NA	1228.98647560878	1725.4988997944	496.51242418562	132.698527112797	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	1.0	hr	NA	3793.90320073879	4605.88779406652	811.98459332773	217.012010826524	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	1.5	hr	NA	3935.14674058972	4551.12189190097	615.97515131125	164.626283926638	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	2.0	hr	NA	3242.04565101978	3749.52852067908	507.4828696593	135.630501994425	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	3.0	hr	NA	2366.6353227074	2704.0124658066	337.3771430992	90.1678342575579	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	4.0	hr	NA	1973.88072330385	2255.35709014714	281.47636684329	75.2277233715348	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	6.0	hr	NA	1356.66001689623	1627.04994624891	270.38992935268	72.2647483194099	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	8.0	hr	NA	1039.85368949086	1232.12857190216	192.2748824113	51.3876238618094	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	10.0	hr	NA	867.591611134453	1053.23526396346	185.643652829007	49.6153532082394	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	12.0	hr	NA	656.981934214728	817.127319541119	160.145385326391	42.800654568875	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	16.0	hr	NA	468.560740571154	597.074408014129	128.513667442975	34.3467223635298	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	24.0	hr	NA	330.594247579884	436.864983508705	106.270735928821	28.402048863284	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	48.0	hr	NA	116.118264958413	169.066477747337	52.948212788924	14.1510051070111	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	72.0	hr	NA	48.3288693920677	75.6732471537926	27.3443777617249	7.30809235992108	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	0.5	hr	NA	17.8745919359814	37.9845022763466	20.1099103403652	5.37459961231351	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	1.0	hr	NA	291.820823764409	444.206565407848	152.385741643439	40.7268025613714	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	1.5	hr	NA	597.566722434337	844.607124708267	247.04040227393	66.0243247142754	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	2.0	hr	NA	701.703828670383	991.795611903738	290.091783233355	77.5302902555363	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	3.0	hr	NA	684.57398876549	932.370557752774	247.796568987284	66.2264187691793	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	4.0	hr	NA	612.519411925579	813.869103170761	201.349691245182	53.8129685408706	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	6.0	hr	NA	478.39356691657	627.846256995818	149.452690079248	39.9429115577325	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	8.0	hr	NA	314.279922119136	412.462638290135	98.182716170999	26.2404346581963	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	10.0	hr	NA	251.602854222453	322.144031535462	70.541177313009	18.8529226546393	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	12.0	hr	NA	201.425518455129	254.731286985435	53.305768530306	14.2465658985058	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	16.0	hr	NA	163.260131928929	206.465714168844	43.205582239915	11.5471775669891	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	24.0	hr	NA	102.080912566022	121.360878625818	19.279966059796	5.15278767317047	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	48.0	hr	NA	30.4092260317069	43.5151444321731	13.1059184004662	3.50270402811149	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M7	plasma	LC MS/MS	M7_CAN100	72.0	hr	NA	12.1861808986211	19.9772945329233	7.7911136343022	2.08226270578443	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	0.5	hr	NA	62.2695162638639	121.360878625818	59.0913623619541	15.7928308911529	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	1.0	hr	NA	920.919830067796	1401.81440602281	480.894575955014	128.524481598686	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	1.5	hr	NA	1794.83712780704	2474.91295185422	680.07582404718	181.757909329465	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	2.0	hr	NA	2107.6208515951	2766.05279491791	658.43194332281	175.973338887265	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	3.0	hr	NA	1909.23187421469	2536.84177669938	627.60990248469	167.735801974594	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	4.0	hr	NA	1605.92222326339	2056.17007379837	450.24785053498	120.333799702378	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	6.0	hr	NA	1238.86292399377	1625.89027852884	387.02735453507	103.437411427123	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	8.0	hr	NA	865.741414158666	1150.33119702124	284.589782862574	76.0598188034387	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	10.0	hr	NA	737.260134827446	967.584115035498	230.323980208052	61.5566729926166	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	12.0	hr	NA	590.227822942817	774.61812832877	184.390305385953	49.280382014061	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	16.0	hr	NA	484.34191799139	590.227822942817	105.885904951427	28.2991984583393	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	24.0	hr	NA	302.842245674907	369.049038953906	66.206793278999	17.6945097947844	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	48.0	hr	NA	95.9645679439968	137.323851323936	41.3592833799392	11.0537334407304	ng/ml	NA
Chen2015	NA	all	14.0	CAN300	concentration	M7	plasma	LC MS/MS	M7_CAN300	72.0	hr	NA	37.5180029985657	59.2664053130075	21.7484023144418	5.81250501216876	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	0.5	hr	NA	49.7986300165161	87.1314901945353	37.3328601780192	9.97762657532031	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	1.0	hr	NA	273.330635868123	413.292193641629	139.961557773506	37.4062997505447	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	1.5	hr	NA	408.336670237594	602.604634664748	194.267964427154	51.9202974365999	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	2.0	hr	NA	450.097085570173	648.271464114466	198.174378544293	52.9643305249706	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	3.0	hr	NA	472.617859533135	625.1568614893	152.539001956165	40.7677631028864	ng/ml	NA
Chen2015	NA	all	14.0	CAN100	concentration	M5	plasma	LC MS/MS	M5_CAN100	4.0	hr	NA	490.276346489913	617.697587907335	127.421241417422	34.054759227243	ng/ml	NA
