study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	0.0	hr	NA	323.223570190641	379.549393414211	56.32582322357001	13.661018741214551	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	0.5	hr	NA	1292.89428076256	1419.41074523396	126.51646447140001	30.684749787958015	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	1.0	hr	NA	2279.89601386481	2454.93934142114	175.04332755633004	42.45424285731407	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	1.5	hr	NA	2333.62218370883	2483.53552859618	149.91334488734992	36.35932680354077	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	2.0	hr	NA	2281.62911611785	2433.27556325823	151.64644714037968	36.779665841731216	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	3.0	hr	NA	2006.93240901213	2120.45060658578	113.51819757365001	27.532207001523144	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	4.0	hr	NA	1867.41767764298	1960.13864818024	92.72097053725997	22.488138543229763	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	5.0	hr	NA	1604.85268630849	1693.24090121317	88.3882149046799	21.43729094775226	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	6.0	hr	NA	1303.29289428076	1377.81629116117	74.52339688041002	18.07457864222095	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	8.0	hr	NA	1072.79029462738	1143.84748700173	71.05719237435005	17.233900565839942	ng/ml	NA
Devineni2015	NA	study 2	17.0	CAN300	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN300	12.0	hr	NA	696.707105719237	734.835355285961	38.12824956672398	9.247458840206692	ng/ml	NA
