study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	0.0	hr	NA	0.0	27.0758122743682	27.0758122743682	9.025270758122733	ng/ml	.
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	0.5	hr	NA	288.808664259927	388.086642599278	99.27797833935097	33.09265944645032	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	1.0	hr	NA	514.440433212996	622.743682310469	108.30324909747299	36.101083032491	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	1.5	hr	NA	424.187725631768	559.566787003609	135.37906137184098	45.126353790613656	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	2.0	hr	NA	351.985559566786	478.339350180504	126.35379061371805	42.11793020457268	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	3.0	hr	NA	279.783393501805	397.1119133574	117.328519855595	39.10950661853167	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	4.0	hr	NA	225.631768953067	333.935018050541	108.30324909747398	36.101083032491324	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	5.0	hr	NA	207.581227436822	315.884476534295	108.30324909747301	36.101083032491005	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	6.0	hr	NA	153.429602888086	243.682310469313	90.25270758122699	30.084235860408995	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	8.0	hr	NA	117.328519855595	198.555956678699	81.227436823104	27.075812274368	ng/ml	NA
Devineni2015a	NA	CAN50	9.0	CAN50_d1	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN50_d1	10.0	hr	NA	90.2527075812267	153.429602888086	63.17689530685931	21.058965102286436	ng/ml	NA
