study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Devineni2015d	all	46.0	NA	species	46.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	healthy	46.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	sex	46.0	NA	MF	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	age	46.0	NA	NA	NA	NA	NA	NA	18.0	55.0	yr	NA
Devineni2015d	all	46.0	NA	bmi	46.0	NA	NA	NA	NA	NA	NA	18.0	30.0	kg/m^2	NA
Devineni2015d	all	46.0	NA	weight	46.0	NA	NA	NA	NA	NA	NA	50.0	NA	kg	NA
Devineni2015d	all	46.0	NA	pregnant	46.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	breastfeeding	46.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	alcohol	46.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	medication	46.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	all	46.0	NA	gfr	46.0	NA	NA	NA	NA	NA	NA	90.0	NA	ml/min/(1.73*m^2)	NA
Devineni2015d	study 1	14.0	all	age	14.0	NA	NA	30.3	NA	8.44	NA	NA	NA	yr	NA
Devineni2015d	study 1	14.0	all	sex	14.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 1	14.0	all	ethnicity	2.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 1	14.0	all	weight	14.0	NA	NA	75.0	NA	14.06	NA	NA	NA	kg	NA
Devineni2015d	study 1	14.0	all	height	14.0	NA	NA	176.8	NA	4.76	NA	NA	NA	cm	NA
Devineni2015d	study 1	14.0	all	bmi	14.0	NA	NA	23.9	NA	3.71	NA	NA	NA	kg/m^2	NA
Devineni2015d	study 2	14.0	all	age	14.0	NA	NA	29.1	NA	9.71	NA	NA	NA	yr	NA
Devineni2015d	study 2	14.0	all	sex	13.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 2	14.0	all	sex	1.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 2	14.0	all	ethnicity	2.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 2	14.0	all	weight	14.0	NA	NA	79.6	NA	11.19	NA	NA	NA	kg	NA
Devineni2015d	study 2	14.0	all	height	14.0	NA	NA	176.9	NA	7.49	NA	NA	NA	cm	NA
Devineni2015d	study 2	14.0	all	bmi	14.0	NA	NA	25.4	NA	2.73	NA	NA	NA	kg/m^2	NA
Devineni2015d	study 3	18.0	all	age	18.0	NA	NA	29.1	NA	9.71	NA	NA	NA	yr	NA
Devineni2015d	study 3	18.0	all	sex	15.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 3	18.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 3	18.0	all	ethnicity	18.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Devineni2015d	study 3	18.0	all	weight	18.0	NA	NA	80.5	NA	9.29	NA	NA	NA	kg	NA
Devineni2015d	study 3	18.0	all	height	18.0	NA	NA	177.1	NA	8.62	NA	NA	NA	cm	NA
Devineni2015d	study 3	18.0	all	bmi	18.0	NA	NA	25.7	NA	2.38	NA	NA	NA	kg/m^2	NA
