study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Iijima2015	CAN25	12.0	CAN25_d1	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN25_d1	24.0	hr	0.387	NA	NA	NA	0.07	NA	NA	percent	NA
Iijima2015	CAN25	12.0	CAN25_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN25_d1	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN25	12.0	CAN25_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN25_d1	24.0	hr	0.09675	NA	NA	NA	0.0175	NA	NA	mg	NA
Iijima2015	CAN100	12.0	CAN100_d1	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN100_d1	24.0	hr	0.384	NA	NA	NA	0.084	NA	NA	percent	NA
Iijima2015	CAN100	12.0	CAN100_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN100_d1	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN100	12.0	CAN100_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN100_d1	24.0	hr	0.384	NA	NA	NA	0.084	NA	NA	mg	NA
Iijima2015	CAN200	14.0	CAN200_d1	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN200_d1	24.0	hr	0.424	NA	NA	NA	0.107	NA	NA	percent	NA
Iijima2015	CAN200	14.0	CAN200_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN200_d1	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN200	14.0	CAN200_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN200_d1	24.0	hr	0.848	NA	NA	NA	0.214	NA	NA	mg	NA
Iijima2015	CAN400	13.0	CAN400_d1	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN400_d1	24.0	hr	0.385	NA	NA	NA	0.097	NA	NA	percent	NA
Iijima2015	CAN400	13.0	CAN400_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN400_d1	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN400	13.0	CAN400_d1	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN400_d1	24.0	hr	1.54	NA	NA	NA	0.388	NA	NA	mg	NA
Iijima2015	CAN25	12.0	CAN25_d16	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN25_d16	24.0	hr	0.599	NA	NA	NA	0.183	NA	NA	percent	NA
Iijima2015	CAN25	12.0	CAN25_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN25_d16	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN25	12.0	CAN25_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN25_d16	24.0	hr	0.14975	NA	NA	NA	0.04575	NA	NA	mg	NA
Iijima2015	CAN100	12.0	CAN100_d16	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN100_d16	24.0	hr	0.641	NA	NA	NA	0.204	NA	NA	percent	NA
Iijima2015	CAN100	12.0	CAN100_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN100_d16	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN100	12.0	CAN100_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN100_d16	24.0	hr	0.641	NA	NA	NA	0.204	NA	NA	mg	NA
Iijima2015	CAN200	14.0	CAN200_d16	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN200_d16	24.0	hr	0.614	NA	NA	NA	0.195	NA	NA	percent	NA
Iijima2015	CAN200	14.0	CAN200_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN200_d16	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN200	14.0	CAN200_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN200_d16	24.0	hr	1.228	NA	NA	NA	0.39	NA	NA	mg	NA
Iijima2015	CAN400	13.0	CAN400_d16	recovery	canagliflozin	plasma	LC MS/MS	canagliflozin_recovery_urine_CAN400_d16	24.0	hr	0.495	NA	NA	NA	0.153	NA	NA	percent	NA
Iijima2015	CAN400	13.0	CAN400_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN400_d16	0.0	hr	0.0	NA	NA	NA	0.0	NA	NA	mg	NA
Iijima2015	CAN400	13.0	CAN400_d16	cumulative amount	canagliflozin	plasma	LC MS/MS	canagliflozin_urine_CAN400_d16	24.0	hr	1.9799999999999998	NA	NA	NA	0.612	NA	NA	mg	NA
