study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Kinoshita2015	group 1	25.0	CAN200	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	15681.0	NA	NA	NA	2538.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2125.0	NA	NA	NA	647.0	NA	NA	ng/ml	NA
Kinoshita2015	group 1	25.0	CAN200	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	1.6	NA	NA	NA	0.7	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	12639.0	NA	NA	NA	2032.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200	auc_inf	canagliflozin	urine	LC MS/MS	NA	NA	16063.0	NA	NA	NA	2571.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200	thalf	canagliflozin	urine	LC MS/MS	NA	NA	14.1	NA	NA	NA	4.77	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200	kel	canagliflozin	urine	LC MS/MS	NA	NA	0.0543	NA	NA	NA	0.0164	NA	NA	1/hr	NA
Kinoshita2015	group 1	25.0	CAN200	mrt	canagliflozin	urine	LC MS/MS	NA	NA	14.47	NA	NA	NA	3.32	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200	clearance	canagliflozin	urine	LC MS/MS	NA	NA	12.77	NA	NA	NA	2.14	NA	NA	l/hr	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	auc_end	canagliflozin	plasma	LC MS/MS	72.0	hr	15389.0	NA	NA	NA	2436.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	2054.0	NA	NA	NA	507.0	NA	NA	ng/ml	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	1.7	NA	NA	NA	0.5	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	auc_end	canagliflozin	urine	LC MS/MS	24.0	hr	12480.0	NA	NA	NA	1997.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	auc_inf	canagliflozin	urine	LC MS/MS	NA	NA	15796.0	NA	NA	NA	2558.0	NA	NA	ng*hr/ml	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	thalf	canagliflozin	urine	LC MS/MS	NA	NA	13.26	NA	NA	NA	3.81	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	kel	canagliflozin	urine	LC MS/MS	NA	NA	0.0559	NA	NA	NA	0.0138	NA	NA	1/hr	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	mrt	canagliflozin	urine	LC MS/MS	NA	NA	13.67	NA	NA	NA	2.9	NA	NA	hr	NA
Kinoshita2015	group 1	25.0	CAN200_d9, TNL40	clearance	canagliflozin	urine	LC MS/MS	NA	NA	12.99	NA	NA	NA	2.14	NA	NA	l/hr	NA
