study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Mamidi2014	NA	human 	6.0	14C_CAN188	concentration	total canagliflozin	plasma	LC MS/MS	canagliflozin_total_CAN188	1.5	hr	NA	2874.51790669467	NA	NA	NA	ng/ml	.
Mamidi2014	NA	human 	6.0	14C_CAN188	concentration	total canagliflozin	plasma	LC MS/MS	canagliflozin_total_CAN188	4.0	hr	NA	2967.82844441774	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human 	6.0	14C_CAN188	concentration	total canagliflozin	plasma	LC MS/MS	canagliflozin_total_CAN188	8.0	hr	NA	1212.98058147975	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human 	6.0	14C_CAN188	concentration	total canagliflozin	plasma	LC MS/MS	canagliflozin_total_CAN188	12.0	hr	NA	746.336550215593	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human 	6.0	14C_CAN188	concentration	total canagliflozin	plasma	LC MS/MS	canagliflozin_total_CAN188	24.0	hr	NA	415.333215823243	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN188	1.5	hr	NA	1810.55905224885	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN188	4.0	hr	NA	1431.77979430804	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN188	8.0	hr	NA	564.738335185693	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN188	12.0	hr	NA	478.459040259913	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN188	24.0	hr	NA	380.002650769859	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M5	plasma	LC MS/MS	M5_CAN188	1.5	hr	NA	503.255332281056	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M5	plasma	LC MS/MS	M5_CAN188	4.0	hr	NA	825.038306670028	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M5	plasma	LC MS/MS	M5_CAN188	8.0	hr	NA	277.285530425622	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M5	plasma	LC MS/MS	M5_CAN188	12.0	hr	NA	13.9054518175197	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M7	plasma	LC MS/MS	M7_CAN188	1.5	hr	NA	512.306975696305	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M7	plasma	LC MS/MS	M7_CAN188	4.0	hr	NA	609.789729837311	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M7	plasma	LC MS/MS	M7_CAN188	8.0	hr	NA	319.671021763609	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M7	plasma	LC MS/MS	M7_CAN188	12.0	hr	NA	234.933300202315	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M9	plasma	LC MS/MS	M9_CAN188	1.5	hr	NA	71.1848234465944	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M9	plasma	LC MS/MS	M9_CAN188	4.0	hr	NA	110.633650006811	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M9	plasma	LC MS/MS	M9_CAN188	8.0	hr	NA	32.1398409510786	NA	NA	NA	ng/ml	NA
Mamidi2014	NA	human	6.0	14C_CAN188	concentration	M9	plasma	LC MS/MS	M9_CAN188	12.0	hr	NA	21.3065576702587	NA	NA	NA	ng/ml	NA
