study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Tamborlane2018	all	17.0	NA	species	17.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	healthy	17.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	disease	17.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	ethnicity	4.0	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	sex	5.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	sex	12.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	all	17.0	NA	age	17.0	NA	NA	14.6	NA	1.8	NA	10.0	17.0	yr	NA
Tamborlane2018	all	17.0	NA	gfr	17.0	NA	NA	149.3	NA	28.8	NA	90.0	NA	ml/min/(1.73*m^2)	NA
Tamborlane2018	all	17.0	NA	bmi	17.0	NA	NA	38.2	NA	9.2	NA	20.0	27.0	kg/m^2	NA
Tamborlane2018	all	17.0	NA	weight	17.0	NA	NA	107.2	NA	33.3	NA	83.0	95.0	kg 	NA
Tamborlane2018	all	17.0	NA	hba1c	17.0	NA	NA	6.9	NA	1.0	NA	6.1	10.0	percent	NA
Tamborlane2018	all	17.0	NA	concentration	17.0	glucose	NA	119.3	NA	34.1	NA	NA	NA	mg/dl	NA
Tamborlane2018	CAN100	8.0	all	sex	2.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	CAN100	8.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	CAN100	8.0	all	age	8.0	NA	NA	15.0	NA	2.1	NA	NA	NA	yr	NA
Tamborlane2018	CAN100	8.0	all	gfr	8.0	NA	NA	135.8	NA	28.9	NA	NA	NA	ml/min/(1.73*m^2)	NA
Tamborlane2018	CAN100	8.0	all	bmi	8.0	NA	NA	40.8	NA	4.6	NA	NA	NA	kg/m^2	NA
Tamborlane2018	CAN100	8.0	all	weight	8.0	NA	NA	116.8	NA	18.7	NA	NA	NA	kg 	NA
Tamborlane2018	CAN100	8.0	all	hba1c	8.0	NA	NA	7.2	NA	1.3	NA	NA	NA	percent	NA
Tamborlane2018	CAN100	8.0	all	concentration	8.0	glucose	NA	134.0	NA	45.3	NA	NA	NA	mg/dl	NA
Tamborlane2018	CAN300	9.0	all	sex	3.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	CAN300	9.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Tamborlane2018	CAN300	9.0	all	age	9.0	NA	NA	14.6	NA	1.8	NA	NA	NA	yr	NA
Tamborlane2018	CAN300	9.0	all	gfr	9.0	NA	NA	161.3	NA	24.0	NA	NA	NA	ml/min/(1.73*m^2)	NA
Tamborlane2018	CAN300	9.0	all	bmi	9.0	NA	NA	35.8	NA	11.7	NA	NA	NA	kg/m^2	NA
Tamborlane2018	CAN300	9.0	all	weight	9.0	NA	NA	98.6	NA	41.7	NA	NA	NA	kg 	NA
Tamborlane2018	CAN300	9.0	all	hba1c	9.0	NA	NA	6.7	NA	0.6	NA	NA	NA	percent	NA
Tamborlane2018	CAN300	9.0	all	concentration	9.0	glucose	NA	106.3	NA	10.6	NA	NA	NA	mg/dl	NA
