study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	0.25	hr	NA	0.0	NA	NA	NA	ng/ml	.
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	0.5	hr	NA	0.1	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	1.0	hr	NA	54.6637744034706	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	1.5	hr	NA	222.29934924078	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	2.0	hr	NA	332.147505422993	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	2.33	hr	NA	400.867678958785	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	2.67	hr	NA	426.898047722342	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	3.0	hr	NA	467.505422993492	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	3.33	hr	NA	572.668112798264	NA	NA	NA	ng/ml	NA
Wattamwar2020	NA	fasting	24.0	CAN150, MET1000	concentration	canagliflozin	plasma	LC MS/MS	canagliflozin_CAN150_fasted	3.67	hr	NA	710.629067245119	NA	NA	NA	ng/ml	NA
