study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Wattamwar2020	fasting	24.0	CAN150, MET1000	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1350.79	NA	NA	NA	345.88	NA	NA	ng/ml	NA
Wattamwar2020	fasting	24.0	CAN150, MET1000	auc_end	canagliflozin	plasma	LC MS/MS	48.0	hr	11951.69	NA	NA	NA	2935.43	NA	NA	ng/ml*hr	NA
Wattamwar2020	fasting	24.0	CAN150, MET1000	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	12535.29	NA	NA	NA	3022.17	NA	NA	ng/ml*hr	NA
Wattamwar2020	fasting	24.0	CAN150, MET1000	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	5.16	NA	NA	NA	1.2	NA	NA	hr	NA
Wattamwar2020	fasting	24.0	CAN150, MET1000	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	9.82	NA	NA	NA	1.87	NA	NA	hr	NA
Wattamwar2020	fasting	24.0	CAN150, MET1000	kel	canagliflozin	plasma	LC MS/MS	NA	NA	0.07	NA	NA	NA	0.01	NA	NA	1/hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	cmax	canagliflozin	plasma	LC MS/MS	NA	NA	1447.39	NA	NA	NA	457.72	NA	NA	ng/ml	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_end	canagliflozin	plasma	LC MS/MS	48.0	hr	12996.97	NA	NA	NA	2630.92	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_inf	canagliflozin	plasma	LC MS/MS	NA	NA	13605.05	NA	NA	NA	2719.99	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	tmax	canagliflozin	plasma	LC MS/MS	NA	NA	3.8	NA	NA	NA	1.43	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	thalf	canagliflozin	plasma	LC MS/MS	NA	NA	9.9	NA	NA	NA	1.8	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	kel	canagliflozin	plasma	LC MS/MS	NA	NA	0.07	NA	NA	NA	0.01	NA	NA	1/hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	cmax	metformin	plasma	LC MS/MS	NA	NA	1721.21	NA	NA	NA	427.81	NA	NA	ng/ml	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_end	metformin	plasma	LC MS/MS	48.0	hr	12847.45	NA	NA	NA	3581.37	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_inf	metformin	plasma	LC MS/MS	NA	NA	13131.04	NA	NA	NA	3640.53	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	tmax	metformin	plasma	LC MS/MS	NA	NA	2.48	NA	NA	NA	1.18	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	thalf	metformin	plasma	LC MS/MS	NA	NA	4.08	NA	NA	NA	0.65	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	kel	metformin	plasma	LC MS/MS	NA	NA	0.17	NA	NA	NA	0.02	NA	NA	1/hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	cmax	metformin	plasma	LC MS/MS	NA	NA	1213.75	NA	NA	NA	290.21	NA	NA	ng/ml	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_end	metformin	plasma	LC MS/MS	48.0	hr	11314.17	NA	NA	NA	1915.16	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	auc_inf	metformin	plasma	LC MS/MS	NA	NA	11638.32	NA	NA	NA	2958.07	NA	NA	ng/ml*hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	tmax	metformin	plasma	LC MS/MS	NA	NA	4.33	NA	NA	NA	1.21	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	thalf	metformin	plasma	LC MS/MS	NA	NA	4.35	NA	NA	NA	0.66	NA	NA	hr	NA
Wattamwar2020	fed	32.0	CAN150, MET1000, FED	kel	metformin	plasma	LC MS/MS	NA	NA	0.16	NA	NA	NA	0.02	NA	NA	1/hr	NA
