Study	PK-DB	PMID	route	substance	dosing	dose [mg]	healthy	renal impairment	hepatic impairment	diabetes mellitus 2
Chen2015	PKDB00858	26048186	po	canagliflozin	single	100, 300	TRUE	-	-	-
Devineni2012	PKDB00874	22226086	po	canagliflozin	single, multi	100, 300	-	-	-	TRUE
Devineni2013	PKDB00875	23670707	po	canagliflozin	single, multi	50, 100, 300	-	-	-	TRUE
Devineni2014	PKDB00879	24726680	po	canagliflozin	multi	300	TRUE	-	-	-
Devineni2015	PKDB00880	27140803	po	canagliflozin	single	300	TRUE	-	-	-
Devineni2015a	PKDB00876	25500487	po	canagliflozin	single, multi	50, 100, 300	TRUE	-	-	-
Devineni2015b	PKDB00877	27136910	po, iv	total canagliflozin, canagliflozin	single	0.010, 300	TRUE	-	-	-
Devineni2015c	PKDB00881	25659911	po	canagliflozin	single	300	TRUE	TRUE	TRUE	-
Devineni2015d	PKDB00882	25407255	po	canagliflozin	single, multi	300	TRUE	-	-	-
Devineni2015e	PKDB00883	27136908	po	canagliflozin	single	50, 100, 300	TRUE	-	-	-
Devineni2016	PKDB00884	26687552	po	canagliflozin	single	200, 300	TRUE	-	-	-
Iijima2015	PKDB00885	26280756	po	canagliflozin	single, multi	25, 100, 200, 400	-	-	-	TRUE
Inagaki2014	PKDB00878	25200141	po	canagliflozin	single	100, 200	-	TRUE	-	TRUE
Kinoshita2015	PKDB00886	25424014	po	canagliflozin	single, multi	200	TRUE	-	-	-
Mamidi2014	PKDB00887	24568888	po	total canagliflozin	single	188	TRUE	-	-	-
Mohamed2019	PKDB00888	31384829	po	canagliflozin	single	50	TRUE	-	-	-
Murphy2015	PKDB00857	25546166	po	canagliflozin	single	150	TRUE	-	-	-
Sha2011	PKDB00889	21457428	po	canagliflozin	single, multi	10, 30, 100, 200, 400, 600, 800 	TRUE	-	-	-
Sha2014	PKDB00890	25166023	po	canagliflozin	single, multi	30, 100, 200, 300, 400	-	-	-	TRUE
Sha2015	PKDB00891	25421015	po	canagliflozin	multi	300	TRUE	-	-	-
Tamborlane2018	PKDB00892	29271103	po	canagliflozin	multi	100, 300	-	-	-	TRUE
